company,year,month,bookings,stays,cancellations,total_nights_stayed,total_weekend_nights_stayed,total_week_nights_stayed,average_lead_time,average_booking_changes,no_deposit,non_refund,refundable,bb,hb,fb,no_meal,parking_required,special_requests,check_out,cancelled,no_show,adr,online,offline,groups_ms,direct_ms,corporate_ms,ta_to,direct_dc,corporate_dc,gds,repeated_guests,previous_cancellations,previous_bookings,transients,transient_parties,contracts,groups,city,resort,adults,children,babies,guests
88,2016,May,1,1,0,3,1,2,0.0,0.0,1,0,0,1,0,0,0,0,0,1,0,0,42.0,0,0,0,1,0,0,1,0,0,1,0,1,1,0,0,0,0,1,1,0.0,0,1.0
286,2015,December,1,1,0,1,0,1,0.0,0.0,1,0,0,1,0,0,0,0,0,1,0,0,38.0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0.0,0,1.0
113,2017,April,1,1,0,1,0,1,23.0,0.0,1,0,0,1,0,0,0,0,0,1,0,0,45.0,0,0,0,0,1,0,0,1,0,1,1,8,1,0,0,0,0,1,1,0.0,0,1.0
168,2016,November,1,1,0,1,0,1,6.0,0.0,1,0,0,1,0,0,0,0,0,1,0,0,30.0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0.0,0,1.0
388,2016,December,1,1,0,1,0,1,0.0,1.0,1,0,0,1,0,0,0,0,0,1,0,0,30.0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0.0,0,1.0
88,2017,February,3,3,0,3,0,3,0.0,0.0,3,0,0,3,0,0,0,0,0,3,0,0,35.0,0,0,0,0,3,0,0,3,0,0,0,0,3,0,0,0,0,3,3,0.0,0,3.0
217,2016,March,2,2,0,3,0,3,6.5,1.0,2,0,0,2,0,0,0,0,2,2,0,0,79.66666666666667,0,0,0,0,2,0,0,2,0,0,0,0,0,2,0,0,2,0,2,0.0,0,2.0
412,2017,January,1,1,0,2,0,2,1.0,1.0,1,0,0,1,0,0,0,0,0,1,0,0,104.5,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,2,1.0,0,3.0
400,2017,February,1,1,0,3,0,3,34.0,0.0,1,0,0,1,0,0,0,0,0,1,0,0,88.0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0.0,0,1.0
477,2017,May,1,1,0,1,0,1,12.0,0.0,1,0,0,1,0,0,0,0,1,1,0,0,144.0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,2,0.0,0,2.0
371,2016,March,3,3,0,6,0,6,5.666666666666667,0.0,3,0,0,3,0,0,0,0,3,3,0,0,31.666666666666668,0,2,0,0,1,2,0,1,0,2,0,7,1,2,0,0,0,3,4,0.0,0,4.0
195,2015,November,1,1,0,2,1,1,0.0,1.0,1,0,0,1,0,0,0,0,0,1,0,0,35.0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0.0,0,1.0
372,2016,January,1,1,0,1,0,1,0.0,0.0,1,0,0,1,0,0,0,1,0,1,0,0,39.0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0.0,0,1.0
400,2016,April,1,1,0,1,0,1,0.0,0.0,1,0,0,1,0,0,0,0,0,1,0,0,58.5,0,0,0,0,1,0,0,1,0,1,0,1,1,0,0,0,0,1,1,0.0,0,1.0
388,2017,January,1,1,0,1,0,1,1.0,0.0,1,0,0,1,0,0,0,0,0,1,0,0,35.0,0,0,0,0,1,0,0,1,0,1,0,1,1,0,0,0,0,1,1,0.0,0,1.0
45,2015,August,20,19,1,37,10,27,2.65,0.75,20,0,0,20,0,0,0,0,13,19,0,1,0.0,0,0,0,0,0,0,20,0,0,1,0,1,20,0,0,0,20,0,28,3.0,1,32.0
153,2017,June,40,27,13,102,35,67,1.95,0.225,40,0,0,40,0,0,0,0,9,27,12,1,105.94764705882353,0,0,0,0,0,1,0,39,0,18,7,28,40,0,0,0,40,0,38,0.0,0,38.0
120,2015,October,1,0,1,1,0,1,0.0,1.0,1,0,0,1,0,0,0,0,0,0,1,0,140.0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,1,0.0,0,1.0
221,2016,April,1,1,0,3,0,3,5.0,0.0,1,0,0,1,0,0,0,0,3,1,0,0,104.0,0,0,0,0,1,0,0,1,0,1,0,1,1,0,0,0,1,0,1,0.0,0,1.0
221,2016,November,2,2,0,4,0,4,2.5,0.0,2,0,0,2,0,0,0,0,3,2,0,0,88.0,0,0,0,0,2,0,0,2,0,2,1,8,2,0,0,0,2,0,2,0.0,0,2.0
349,2016,October,1,1,0,1,0,1,5.0,0.0,1,0,0,1,0,0,0,0,0,1,0,0,105.0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0.0,0,1.0
NULL,2015,December,2753,1794,959,8574,2411,6163,54.769705775517615,0.17798764983654194,2269,484,0,2149,285,84,235,219,1364,1794,913,46,76.53879519477488,932,889,453,416,34,2221,500,32,0,74,501,74,1984,571,174,24,1550,1203,5008,215.0,46,5269.0
308,2016,December,31,19,12,93,31,62,166.06451612903226,0.5806451612903226,31,0,0,0,12,0,19,0,3,19,12,0,118.30645161290323,0,0,31,0,0,31,0,0,0,0,0,0,0,31,0,0,0,31,55,0.0,0,55.0
154,2017,January,9,8,1,15,6,9,8.88888888888889,0.2222222222222222,9,0,0,9,0,0,0,0,0,8,1,0,35.0,0,0,0,0,9,0,0,9,0,2,0,10,9,0,0,0,0,9,9,0.0,0,9.0
81,2016,September,2,2,0,2,0,2,10.5,0.0,2,0,0,2,0,0,0,1,3,2,0,0,126.0,0,0,0,0,2,0,0,2,0,0,1,7,2,0,0,0,1,1,3,0.0,0,3.0
379,2016,March,5,5,0,7,0,7,1.6,0.0,5,0,0,5,0,0,0,0,0,5,0,0,40.42857142857143,0,0,0,0,5,0,0,5,0,3,0,9,3,2,0,0,0,5,5,0.0,0,5.0
221,2017,January,1,1,0,1,0,1,0.0,0.0,1,0,0,1,0,0,0,0,0,1,0,0,80.0,0,0,0,0,1,0,0,1,0,1,1,5,1,0,0,0,1,0,1,0.0,0,1.0
53,2015,November,1,1,0,4,0,4,49.0,0.0,1,0,0,1,0,0,0,0,0,1,0,0,35.0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0.0,0,1.0
342,2015,November,48,46,2,48,0,48,49.291666666666664,0.375,48,0,0,48,0,0,0,0,2,46,2,0,32.916666666666664,0,0,0,0,48,0,0,48,0,0,0,0,0,48,0,0,0,48,96,9.0,3,108.0
94,2017,February,2,2,0,6,2,4,11.0,0.0,2,0,0,2,0,0,0,0,0,2,0,0,35.0,0,0,0,0,2,0,0,2,0,0,0,1,2,0,0,0,0,2,2,0.0,0,2.0
47,2016,November,1,1,0,2,0,2,0.0,1.0,1,0,0,1,0,0,0,0,0,1,0,0,27.0,0,0,0,0,1,0,0,1,0,1,0,4,1,0,0,0,0,1,1,0.0,0,1.0
289,2015,December,1,1,0,1,0,1,1.0,0.0,1,0,0,1,0,0,0,0,0,1,0,0,35.0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0.0,0,1.0
358,2016,January,2,2,0,2,0,2,7.5,0.0,2,0,0,2,0,0,0,0,0,2,0,0,30.0,0,0,0,0,2,0,0,2,0,0,0,0,2,0,0,0,0,2,2,0.0,0,2.0
270,2017,June,1,1,0,2,0,2,7.0,0.0,1,0,0,1,0,0,0,0,0,1,0,0,75.0,0,0,0,0,1,0,0,1,0,1,0,3,1,0,0,0,0,1,1,0.0,0,1.0
40,2016,August,23,20,3,39,14,25,11.869565217391305,0.30434782608695654,23,0,0,23,0,0,0,10,11,20,3,0,66.17948717948718,0,0,0,0,23,0,0,23,0,4,9,98,21,2,0,0,23,0,24,0.0,0,24.0
135,2016,January,1,1,0,1,0,1,1.0,0.0,1,0,0,1,0,0,0,0,2,1,0,0,30.0,0,0,0,0,1,0,0,1,0,0,2,4,1,0,0,0,0,1,1,0.0,0,1.0
12,2017,February,3,3,0,10,2,8,0.0,1.0,3,0,0,3,0,0,0,1,0,3,0,0,36.05,0,0,0,0,3,0,0,3,0,2,0,5,3,0,0,0,0,3,3,0.0,0,3.0
86,2015,November,3,3,0,5,2,3,8.666666666666666,0.0,3,0,0,3,0,0,0,2,0,3,0,0,35.0,0,0,0,0,3,0,0,3,0,0,1,8,3,0,0,0,0,3,3,0.0,0,3.0
338,2017,January,1,1,0,2,0,2,13.0,0.0,1,0,0,1,0,0,0,1,0,1,0,0,38.0,0,0,0,0,1,0,0,1,0,1,0,9,1,0,0,0,0,1,1,0.0,0,1.0
46,2017,March,3,2,1,3,0,3,6.0,0.0,3,0,0,3,0,0,0,0,3,2,1,0,69.66666666666667,0,0,0,0,0,1,2,0,0,3,1,5,3,0,0,0,3,0,3,0.0,0,3.0
317,2015,October,5,4,1,16,3,13,29.4,2.2,5,0,0,5,0,0,0,0,1,4,1,0,56.0,0,0,0,5,0,0,5,0,0,0,0,0,1,4,0,0,0,5,10,0.0,0,10.0
331,2016,July,4,2,2,4,0,4,20.25,0.0,4,0,0,4,0,0,0,0,0,2,2,0,107.5,0,0,0,0,4,0,0,4,0,0,0,1,4,0,0,0,0,4,4,0.0,0,4.0
224,2017,January,2,1,1,3,0,3,4.0,0.0,2,0,0,2,0,0,0,0,1,1,1,0,35.0,0,0,0,2,0,0,2,0,0,0,0,2,2,0,0,0,0,2,2,0.0,0,2.0
120,2017,February,1,1,0,2,1,1,4.0,0.0,1,0,0,1,0,0,0,1,1,1,0,0,42.0,0,0,0,0,1,0,0,1,0,1,0,2,1,0,0,0,0,1,1,0.0,0,1.0
379,2016,April,1,1,0,1,0,1,2.0,0.0,1,0,0,1,0,0,0,0,0,1,0,0,59.4,0,0,0,0,1,0,0,1,0,1,0,5,1,0,0,0,0,1,1,0.0,0,1.0
174,2016,February,14,12,2,25,0,25,24.642857142857142,0.42857142857142855,13,1,0,14,0,0,0,0,0,12,1,1,74.8,0,0,0,0,14,0,0,14,0,0,0,0,0,14,0,0,14,0,23,0.0,0,23.0
143,2015,December,17,9,8,57,34,23,23.823529411764707,0.0,17,0,0,17,0,0,0,0,0,9,8,0,52.335789473684216,0,0,0,0,17,0,0,17,0,0,8,0,0,17,0,0,17,0,34,0.0,0,34.0
219,2016,May,5,5,0,5,1,4,3.2,0.0,5,0,0,5,0,0,0,3,2,5,0,0,94.4,0,0,0,0,5,0,0,5,0,2,0,6,5,0,0,0,5,0,5,0.0,0,5.0
223,2015,October,107,106,1,421,91,330,268.4485981308411,1.02803738317757,107,0,0,107,0,0,0,15,10,106,1,0,43.82437054631829,2,0,103,2,0,2,2,103,0,0,1,1,5,102,0,0,0,107,205,0.0,0,205.0
169,2017,May,56,42,14,131,85,46,36.80357142857143,0.8035714285714286,56,0,0,56,0,0,0,4,4,42,11,3,98.3969465648855,0,0,38,0,18,0,0,56,0,2,0,2,1,55,0,0,38,18,59,0.0,0,59.0
9,2016,June,2,2,0,3,0,3,2.5,1.0,2,0,0,2,0,0,0,0,0,2,0,0,65.0,0,0,0,1,1,0,0,2,0,1,0,8,2,0,0,0,0,2,2,0.0,0,2.0
367,2016,April,1,1,0,2,0,2,58.0,1.0,1,0,0,1,0,0,0,0,1,1,0,0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,2,0.0,0,2.0
539,2017,June,1,1,0,4,1,3,4.0,0.0,1,0,0,1,0,0,0,1,0,1,0,0,82.0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,1,1,0.0,0,1.0
40,2017,August,29,28,1,67,8,59,8.448275862068966,0.3103448275862069,29,0,0,29,0,0,0,10,44,28,0,1,85.77611940298507,0,2,0,0,26,2,0,27,0,20,16,210,26,0,2,1,27,2,33,1.0,0,34.0
308,2016,September,1,1,0,1,0,1,3.0,0.0,1,0,0,1,0,0,0,0,0,1,0,0,166.25,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0.0,0,1.0
274,2015,November,2,2,0,2,0,2,0.0,0.0,2,0,0,2,0,0,0,0,0,2,0,0,38.0,0,0,0,0,2,0,0,2,0,1,0,2,2,0,0,0,0,2,2,0.0,0,2.0
118,2015,December,1,1,0,1,0,1,0.0,0.0,1,0,0,1,0,0,0,0,0,1,0,0,35.0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0.0,0,1.0
395,2016,December,1,1,0,7,2,5,246.0,3.0,1,0,0,1,0,0,0,0,2,1,0,0,93.36,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,3,0.0,0,3.0
216,2017,July,1,1,0,5,2,3,1.0,0.0,1,0,0,1,0,0,0,0,0,1,0,0,111.5,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0.0,0,1.0
12,2016,December,2,2,0,2,0,2,1.0,1.5,2,0,0,2,0,0,0,0,0,2,0,0,30.0,0,0,0,0,2,0,1,1,0,1,0,3,2,0,0,0,0,2,3,0.0,0,3.0
321,2016,October,1,0,1,1,0,1,5.0,1.0,1,0,0,1,0,0,0,0,0,0,1,0,110.0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0.0,0,1.0
163,2016,December,2,2,0,2,0,2,0.0,1.0,2,0,0,2,0,0,0,2,3,2,0,0,50.0,0,0,0,0,2,0,2,0,0,1,0,6,2,0,0,0,2,0,2,0.0,0,2.0
408,2017,August,1,1,0,1,0,1,0.0,1.0,1,0,0,1,0,0,0,0,0,1,0,0,80.0,0,0,0,1,0,0,1,0,0,1,0,5,1,0,0,0,1,0,1,0.0,0,1.0
245,2017,June,2,2,0,2,0,2,42.0,0.0,2,0,0,2,0,0,0,0,0,2,0,0,108.0,0,0,0,0,2,0,0,2,0,0,0,0,0,2,0,0,2,0,2,0.0,0,2.0
108,2015,August,1,1,0,6,2,4,62.0,1.0,1,0,0,1,0,0,0,0,0,1,0,0,152.1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,2,2.0,0,4.0
364,2016,February,3,3,0,12,1,11,26.0,1.6666666666666667,3,0,0,2,0,0,1,0,3,3,0,0,17.5,0,0,0,3,0,0,3,0,0,0,0,0,0,3,0,0,0,3,6,0.0,0,6.0
92,2016,December,1,1,0,1,0,1,2.0,0.0,1,0,0,1,0,0,0,0,0,1,0,0,30.0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0.0,0,1.0
428,2017,February,1,1,0,1,0,1,0.0,0.0,1,0,0,1,0,0,0,0,0,1,0,0,35.0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0.0,0,1.0
227,2016,March,2,0,2,2,0,2,9.5,0.0,2,0,0,2,0,0,0,0,0,0,2,0,95.0,0,0,0,0,2,0,0,2,0,0,0,0,0,2,0,0,2,0,2,0.0,0,2.0
46,2015,December,1,1,0,1,0,1,0.0,0.0,1,0,0,1,0,0,0,0,0,1,0,0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0.0,0,1.0
360,2016,November,2,2,0,11,4,7,15.5,0.5,2,0,0,2,0,0,0,0,0,2,0,0,79.75,0,0,0,0,2,0,0,2,0,0,0,0,2,0,0,0,2,0,2,0.0,0,2.0
238,2016,December,2,2,0,2,0,2,0.0,0.5,2,0,0,2,0,0,0,0,2,2,0,0,81.5,0,0,0,0,2,0,0,2,0,0,0,0,2,0,0,0,2,0,3,0.0,0,3.0
204,2016,December,3,1,2,4,0,4,3.3333333333333335,0.3333333333333333,3,0,0,3,0,0,0,0,6,1,2,0,30.0,0,0,0,0,3,0,0,3,0,0,0,23,3,0,0,0,0,3,3,0.0,0,3.0
51,2016,November,7,2,5,17,5,12,157.14285714285714,0.14285714285714285,3,4,0,7,0,0,0,2,0,2,5,0,92.55882352941177,0,0,0,1,6,0,1,6,0,0,0,2,3,4,0,0,5,2,7,0.0,0,7.0
77,2015,July,1,0,1,2,0,2,3.0,3.0,1,0,0,1,0,0,0,0,0,0,1,0,114.0,0,0,0,0,1,0,0,1,0,1,1,3,1,0,0,0,0,1,1,0.0,0,1.0
135,2016,July,1,1,0,2,0,2,2.0,0.0,1,0,0,1,0,0,0,0,0,1,0,0,138.0,0,0,0,0,1,0,0,1,0,1,0,1,1,0,0,0,0,1,2,0.0,0,2.0
409,2016,October,1,1,0,2,0,2,0.0,0.0,1,0,0,1,0,0,0,0,0,1,0,0,50.0,0,0,0,0,1,0,0,1,0,1,0,2,1,0,0,0,0,1,1,0.0,0,1.0
178,2016,May,2,2,0,4,2,2,11.0,1.0,2,0,0,2,0,0,0,0,1,2,0,0,46.0,0,0,0,2,0,0,2,0,0,0,0,0,2,0,0,0,0,2,3,0.0,0,3.0
81,2015,October,9,8,1,24,9,15,2.111111111111111,0.0,9,0,0,9,0,0,0,0,0,8,1,0,125.70833333333333,0,0,0,0,9,0,0,9,0,0,0,0,7,2,0,0,9,0,16,0.0,0,16.0
110,2015,October,2,1,1,3,2,1,6.0,0.0,2,0,0,2,0,0,0,0,0,1,1,0,126.98333333333333,0,0,0,0,2,0,0,2,0,0,0,0,2,0,0,0,1,1,4,0.0,0,4.0
86,2016,November,1,1,0,2,0,2,6.0,0.0,1,0,0,1,0,0,0,0,0,1,0,0,30.0,0,0,0,0,1,0,0,1,0,1,1,5,1,0,0,0,0,1,1,0.0,0,1.0
221,2017,April,1,1,0,2,1,1,0.0,0.0,1,0,0,1,0,0,0,0,1,1,0,0,104.0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0.0,0,1.0
NULL,2015,August,3744,2176,1568,14039,4013,10026,102.89075854700855,0.16987179487179488,3169,575,0,2710,914,33,87,245,2161,2176,1552,16,119.30805541705283,1260,768,1126,566,14,3149,575,16,0,76,818,22,1816,1424,495,9,2365,1379,7327,422.0,66,7806.0
62,2016,June,2,2,0,2,1,1,4.5,0.5,2,0,0,2,0,0,0,0,0,2,0,0,80.0,0,0,0,0,2,0,0,2,0,0,0,2,2,0,0,0,1,1,2,0.0,0,2.0
496,2016,December,1,1,0,2,0,2,1.0,1.0,1,0,0,1,0,0,0,1,2,1,0,0,81.0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,2,0.0,1,3.0
105,2015,October,8,8,0,15,0,15,12.0,0.0,8,0,0,8,0,0,0,0,0,8,0,0,130.0,0,0,0,0,8,0,0,8,0,0,0,0,1,7,0,0,8,0,8,0.0,0,8.0
84,2015,November,1,1,0,2,0,2,0.0,0.0,1,0,0,1,0,0,0,0,0,1,0,0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,2,0.0,0,2.0
428,2016,November,1,1,0,1,1,0,7.0,0.0,1,0,0,1,0,0,0,0,0,1,0,0,30.0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0.0,0,1.0
45,2016,May,13,13,0,13,1,12,2.4615384615384617,0.23076923076923078,13,0,0,13,0,0,0,1,20,13,0,0,0.0,0,0,0,0,0,0,6,7,0,10,14,97,13,0,0,0,13,0,18,0.0,0,18.0
179,2017,April,1,0,1,1,0,1,1.0,0.0,1,0,0,1,0,0,0,0,1,0,1,0,95.0,0,0,0,1,0,0,0,1,0,1,1,2,1,0,0,0,1,0,1,0.0,0,1.0
91,2017,June,1,1,0,1,0,1,14.0,0.0,1,0,0,1,0,0,0,0,0,1,0,0,95.0,0,0,0,0,1,0,0,1,0,1,1,3,1,0,0,0,1,0,1,0.0,0,1.0
238,2017,August,1,1,0,1,0,1,13.0,0.0,1,0,0,1,0,0,0,0,0,1,0,0,65.0,0,0,0,0,1,0,0,1,0,1,1,7,1,0,0,0,1,0,1,0.0,0,1.0
405,2016,May,13,12,1,19,12,7,6.615384615384615,0.38461538461538464,9,0,4,13,0,0,0,5,2,12,0,1,52.526315789473685,0,0,0,12,1,7,5,1,0,2,0,2,1,7,0,5,0,13,23,2.0,0,25.0
329,2016,November,1,1,0,1,0,1,0.0,0.0,1,0,0,1,0,0,0,0,1,1,0,0,44.0,0,0,0,0,1,0,0,1,0,0,0,2,1,0,0,0,0,1,1,0.0,0,1.0
274,2016,January,2,2,0,2,1,1,2.5,0.0,2,0,0,2,0,0,0,0,0,2,0,0,38.0,0,0,0,0,2,0,0,2,0,1,0,3,2,0,0,0,0,2,2,0.0,0,2.0
20,2015,October,4,4,0,4,2,2,0.0,0.0,4,0,0,0,4,0,0,0,0,4,0,0,54.0,0,0,0,0,4,0,0,4,0,0,0,0,4,0,0,0,0,4,4,0.0,0,4.0
437,2017,May,3,3,0,1,1,0,2.6666666666666665,0.0,3,0,0,3,0,0,0,0,0,3,0,0,60.0,0,0,0,0,3,0,0,3,0,0,0,0,1,2,0,0,0,3,5,0.0,0,5.0
179,2016,January,1,1,0,2,2,0,13.0,1.0,1,0,0,1,0,0,0,0,0,1,0,0,80.0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0.0,0,1.0
120,2016,September,3,3,0,3,0,3,0.6666666666666666,1.0,3,0,0,3,0,0,0,0,2,3,0,0,169.33333333333334,3,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,3,0,5,0.0,0,5.0
20,2017,August,1,1,0,1,0,1,3.0,0.0,1,0,0,1,0,0,0,0,0,1,0,0,135.0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0.0,0,1.0
94,2016,November,5,5,0,11,4,7,6.0,0.0,5,0,0,5,0,0,0,1,0,5,0,0,27.272727272727273,0,0,0,0,5,0,0,5,0,4,1,5,5,0,0,0,0,5,5,0.0,0,5.0
94,2017,August,5,5,0,5,0,5,4.0,0.0,5,0,0,5,0,0,0,1,0,5,0,0,136.4,0,0,0,0,5,0,0,5,0,3,0,13,5,0,0,0,0,5,5,0.0,0,5.0
204,2016,June,1,1,0,1,0,1,1.0,0.0,1,0,0,1,0,0,0,0,0,1,0,0,65.0,0,0,0,0,1,0,0,1,0,0,0,17,1,0,0,0,0,1,1,0.0,0,1.0
338,2015,November,1,1,0,1,0,1,6.0,1.0,1,0,0,1,0,0,0,1,0,1,0,0,44.0,0,0,0,1,0,0,1,0,0,1,0,1,1,0,0,0,0,1,1,0.0,0,1.0
246,2015,September,1,1,0,6,2,4,241.0,0.0,1,0,0,1,0,0,0,0,0,1,0,0,74.0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,2,0.0,0,2.0
92,2016,February,2,2,0,2,0,2,8.0,0.0,2,0,0,2,0,0,0,1,0,2,0,0,30.0,0,0,0,0,2,0,0,2,0,0,0,0,2,0,0,0,0,2,2,0.0,0,2.0
254,2016,October,1,1,0,1,1,0,4.0,1.0,1,0,0,1,0,0,0,0,0,1,0,0,54.9,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0.0,0,1.0
153,2016,September,16,9,7,39,15,24,5.4375,0.125,16,0,0,16,0,0,0,0,0,9,7,0,108.46153846153847,0,0,0,0,0,2,0,14,0,4,4,9,16,0,0,0,16,0,16,0.0,0,16.0
263,2016,June,7,7,0,15,0,15,1.2857142857142858,0.14285714285714285,7,0,0,7,0,0,0,0,2,7,0,0,98.4,7,0,0,0,0,0,0,7,0,0,0,0,7,0,0,0,7,0,14,0.0,0,14.0
341,2016,October,1,1,0,4,0,4,0.0,0.0,1,0,0,1,0,0,0,1,3,1,0,0,107.0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,2,1.0,0,3.0
384,2016,December,1,1,0,1,1,0,4.0,0.0,1,0,0,1,0,0,0,0,0,1,0,0,100.0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,2,0.0,0,2.0
382,2016,October,3,2,1,3,0,3,12.0,0.0,3,0,0,3,0,0,0,0,0,2,1,0,0.0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,3,4,0.0,0,4.0
154,2016,May,6,6,0,10,3,7,10.0,0.0,6,0,0,6,0,0,0,0,0,6,0,0,46.6,0,0,0,0,6,0,0,6,0,4,0,10,6,0,0,0,0,6,6,0.0,0,6.0
43,2015,October,1,1,0,1,0,1,0.0,0.0,1,0,0,1,0,0,0,0,0,1,0,0,48.0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,1,1,0.0,0,1.0
