agent,year,month,bookings,stays,cancellations,total_nights_stayed,total_weekend_nights_stayed,total_week_nights_stayed,average_lead_time,average_booking_changes,no_deposit,non_refund,refundable,bb,hb,fb,no_meal,parking_required,special_requests,check_out,cancelled,no_show,adr,online,offline,groups_ms,direct_ms,corporate_ms,ta_to,direct_dc,corporate_dc,gds,repeated_guests,previous_cancellations,previous_bookings,transients,transient_parties,contracts,groups,city,resort,adults,children,babies,guests
330,2016,April,9,9,0,9,0,9,1.6666666666666667,0.2222222222222222,9,0,0,9,0,0,0,1,0,9,0,0,67.05000000000001,0,9,0,0,0,9,0,0,0,0,0,0,6,3,0,0,0,9,15,0.0,0,15.0
128,2016,July,1,1,0,9,3,6,145.0,0.0,1,0,0,1,0,0,0,0,0,1,0,0,121.69999999999999,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,2,0.0,0,2.0
184,2017,February,2,2,0,5,2,3,18.5,0.0,2,0,0,2,0,0,0,0,0,2,0,0,42.3,2,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,2,2,0.0,0,2.0
11,2016,January,16,16,0,52,23,29,23.625,0.0,16,0,0,10,0,0,6,0,1,16,0,0,62.372307692307686,16,0,0,0,0,16,0,0,0,0,0,0,16,0,0,0,16,0,29,0.0,0,29.0
9,2017,April,1918,970,948,6215,1887,4328,101.2325338894682,0.18821689259645463,1915,0,3,1227,100,0,591,39,1792,970,938,10,137.35709573612232,1918,0,0,0,0,1916,2,0,0,2,0,3,1866,48,0,4,1918,0,3950,301.0,5,4256.0
138,2016,February,12,12,0,42,10,32,6.833333333333333,0.16666666666666666,12,0,0,12,0,0,0,0,0,12,0,0,64.9857142857143,0,12,0,0,0,12,0,0,0,0,0,0,12,0,0,0,12,0,20,0.0,0,20.0
354,2017,March,3,3,0,17,6,11,24.0,0.3333333333333333,3,0,0,0,2,0,1,0,0,3,0,0,47.17411764705883,3,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,3,0,4,0.0,0,4.0
334,2015,November,28,27,1,207,41,166,23.714285714285715,1.6785714285714286,28,0,0,28,0,0,0,1,0,27,1,0,42.4443961352657,0,0,0,1,27,0,1,27,0,0,0,0,0,27,0,1,0,28,37,0.0,0,37.0
96,2016,May,8,4,4,68,20,48,76.5,0.5,8,0,0,6,0,2,0,0,2,4,4,0,84.90279411764705,0,8,0,0,0,8,0,0,0,0,0,0,1,5,0,2,0,8,16,0.0,0,16.0
26,2017,March,3,1,2,12,6,6,249.0,0.0,3,0,0,1,2,0,0,0,0,1,2,0,51.06666666666666,0,3,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,3,6,0.0,0,6.0
66,2015,August,1,1,0,17,4,13,61.0,0.0,1,0,0,1,0,0,0,0,0,1,0,0,102.0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,2,0.0,0,2.0
1,2016,January,29,29,0,87,56,31,39.827586206896555,0.4827586206896552,29,0,0,3,26,0,0,1,5,29,0,0,84.49425287356321,0,1,28,0,0,29,0,0,0,1,0,1,3,26,0,0,28,1,54,0.0,1,55.0
10,2016,October,19,6,13,63,28,35,174.6315789473684,0.15789473684210525,6,13,0,18,0,0,1,0,0,6,13,0,87.02380952380953,17,2,0,0,0,18,0,1,0,1,0,3,19,0,0,0,17,2,30,0.0,0,30.0
78,2016,November,1,1,0,1,0,1,0.0,0.0,1,0,0,1,0,0,0,0,0,1,0,0,42.0,0,1,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,1,1,0.0,0,1.0
45,2015,August,1,1,0,1,0,1,5.0,0.0,1,0,0,1,0,0,0,0,0,1,0,0,0.0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0.0,0,1.0
10,2015,October,13,9,4,55,19,36,32.46153846153846,0.23076923076923078,13,0,0,11,0,0,2,0,4,9,4,0,116.82145454545453,13,0,0,0,0,13,0,0,0,0,4,0,10,2,0,1,13,0,23,1.0,0,24.0
11,2016,March,34,30,4,136,35,101,68.91176470588235,0.058823529411764705,34,0,0,18,0,0,16,0,3,30,4,0,64.67213235294118,34,0,0,0,0,34,0,0,0,0,0,0,34,0,0,0,34,0,65,3.0,0,68.0
155,2016,May,2,2,0,6,3,3,85.5,0.0,2,0,0,2,0,0,0,0,2,2,0,0,135.165,2,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,2,0,4,0.0,0,4.0
141,2017,March,2,2,0,4,0,4,58.0,0.0,2,0,0,2,0,0,0,0,0,2,0,0,75.0,0,2,0,0,0,2,0,0,0,0,0,0,2,0,0,0,2,0,2,0.0,0,2.0
5,2015,July,44,24,20,226,85,141,143.5681818181818,0.022727272727272728,44,0,0,36,1,7,0,9,21,24,19,1,108.00256637168143,0,43,0,1,0,43,1,0,0,0,16,0,40,4,0,0,15,29,88,1.0,2,91.0
177,2015,September,2,2,0,14,4,10,140.0,0.5,2,0,0,0,2,0,0,0,1,2,0,0,95.625,0,2,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,2,4,1.0,0,5.0
NULL,2015,December,553,462,91,1189,228,961,24.227848101265824,0.22423146473779385,527,26,0,453,35,28,37,70,192,462,79,12,91.2342472666106,3,14,66,278,161,17,365,171,0,65,76,174,432,121,0,0,229,324,889,39.0,11,939.0
298,2016,May,146,104,42,292,146,146,208.76712328767124,0.2328767123287671,146,0,0,1,145,0,0,0,5,104,42,0,77.5958904109589,0,0,146,0,0,146,0,0,0,0,0,0,5,141,0,0,0,146,263,0.0,0,263.0
243,2016,September,54,49,5,581,166,415,219.62962962962962,0.12962962962962962,54,0,0,31,23,0,0,1,34,49,5,0,68.87814113597244,0,54,0,0,0,54,0,0,0,1,0,1,1,0,53,0,0,54,106,0.0,0,106.0
3,2016,July,13,9,4,80,26,54,112.07692307692308,0.07692307692307693,13,0,0,13,0,0,0,1,11,9,3,1,80.53124999999999,0,13,0,0,0,13,0,0,0,0,0,0,8,5,0,0,11,2,27,0.0,0,27.0
146,2017,February,6,6,0,18,4,14,10.333333333333334,0.3333333333333333,6,0,0,6,0,0,0,1,0,6,0,0,34.67777777777778,0,6,0,0,0,6,0,0,0,0,0,3,6,0,0,0,0,6,6,0.0,0,6.0
168,2016,April,4,3,1,12,0,12,47.0,0.0,4,0,0,4,0,0,0,0,1,3,1,0,87.47500000000001,0,4,0,0,0,4,0,0,0,0,0,0,4,0,0,0,4,0,8,0.0,0,8.0
83,2017,January,30,18,12,108,35,73,32.96666666666667,0.16666666666666666,30,0,0,23,3,0,4,1,10,18,11,1,110.5510185185185,30,0,0,0,0,30,0,0,0,0,0,0,30,0,0,0,30,0,66,13.0,0,79.0
13,2015,December,3,0,3,9,0,9,61.0,2.0,3,0,0,0,3,0,0,0,4,0,3,0,122.19999999999999,0,3,0,0,0,3,0,0,0,0,3,0,0,0,0,3,3,0,7,0.0,0,7.0
394,2017,June,5,5,0,27,8,19,92.2,0.0,5,0,0,1,3,0,1,0,7,5,0,0,99.00370370370368,0,4,0,0,0,4,1,0,0,0,0,0,5,0,0,0,5,0,8,0.0,0,8.0
96,2015,July,4,4,0,27,8,19,97.5,0.0,4,0,0,3,1,0,0,0,2,4,0,0,143.23925925925926,0,4,0,0,0,4,0,0,0,0,0,0,3,1,0,0,0,4,10,0.0,0,10.0
6,2015,August,260,78,182,612,37,575,111.21153846153847,0.1576923076923077,190,70,0,10,250,0,0,1,13,78,182,0,104.08436274509803,0,260,0,0,0,260,0,0,0,0,75,0,9,251,0,0,243,17,503,2.0,0,505.0
155,2015,December,29,15,14,58,29,29,66.0,0.1724137931034483,29,0,0,0,0,29,0,0,0,15,14,0,60.49655172413794,0,0,29,0,0,29,0,0,0,0,0,0,0,29,0,0,0,29,53,0.0,0,53.0
40,2016,August,41,37,4,409,109,300,261.4878048780488,0.21951219512195122,41,0,0,28,12,0,1,1,16,37,4,0,86.27303178484107,0,40,0,0,1,40,0,1,0,0,0,0,9,0,32,0,1,40,83,0.0,0,83.0
436,2016,September,4,4,0,28,8,20,303.75,0.0,4,0,0,2,2,0,0,0,4,4,0,0,77.00000000000001,0,4,0,0,0,4,0,0,0,0,0,0,4,0,0,0,0,4,8,0.0,0,8.0
94,2017,February,13,12,1,22,4,18,1.8461538461538463,0.07692307692307693,13,0,0,13,0,0,0,2,10,12,1,0,41.56818181818182,0,6,0,0,7,6,0,7,0,8,8,61,7,5,0,1,6,7,13,0.0,0,13.0
128,2016,May,10,9,1,42,10,32,172.4,0.4,10,0,0,9,1,0,0,0,5,9,1,0,79.80357142857143,0,10,0,0,0,10,0,0,0,0,0,0,1,9,0,0,9,1,20,0.0,0,20.0
147,2016,July,1,1,0,12,4,8,163.0,0.0,1,0,0,1,0,0,0,0,0,1,0,0,103.11,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,2,0.0,0,2.0
360,2017,August,2,2,0,2,0,2,5.0,0.5,2,0,0,2,0,0,0,0,0,2,0,0,215.05,0,2,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,2,5,0.0,0,5.0
214,2016,March,1,0,1,2,0,2,7.0,1.0,1,0,0,1,0,0,0,0,0,0,1,0,56.0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0.0,0,1.0
1,2016,May,382,125,257,821,142,679,278.24083769633506,0.06282722513089005,154,228,0,349,33,0,0,0,28,125,257,0,64.47030450669916,0,0,382,0,0,382,0,0,0,0,0,0,229,153,0,0,382,0,742,0.0,0,742.0
296,2017,April,21,4,17,63,42,21,166.76190476190476,0.047619047619047616,21,0,0,21,0,0,0,0,0,4,17,0,96.13333333333335,0,0,21,0,0,21,0,0,0,0,0,0,0,21,0,0,21,0,40,0.0,0,40.0
20,2017,June,160,17,143,431,138,293,190.88125,0.0375,31,129,0,155,5,0,0,0,1,17,143,0,109.65988399071921,0,107,53,0,0,160,0,0,0,0,0,0,132,28,0,0,160,0,318,0.0,0,318.0
138,2016,October,9,9,0,34,13,21,47.666666666666664,0.0,9,0,0,8,0,0,1,0,4,9,0,0,87.88235294117646,0,9,0,0,0,9,0,0,0,0,0,0,9,0,0,0,9,0,18,0.0,0,18.0
241,2017,April,89,75,14,350,117,233,91.13483146067416,0.0449438202247191,89,0,0,69,20,0,0,14,93,75,14,0,77.07217142857144,89,0,0,0,0,89,0,0,0,1,0,2,88,0,0,1,0,89,162,18.0,2,182.0
240,2017,May,656,343,313,2612,694,1918,107.60823170731707,0.21036585365853658,654,1,1,532,124,0,0,95,628,343,308,5,106.8952718223584,656,0,0,0,0,650,5,1,0,18,1,43,583,72,0,1,0,656,1283,147.0,7,1437.0
146,2016,June,4,4,0,4,0,4,4.75,0.5,4,0,0,4,0,0,0,4,0,4,0,0,67.5,0,4,0,0,0,4,0,0,0,0,0,0,4,0,0,0,0,4,4,0.0,0,4.0
336,2016,May,4,4,0,11,5,6,79.0,0.0,4,0,0,4,0,0,0,1,2,4,0,0,50.58181818181818,0,4,0,0,0,4,0,0,0,0,0,0,4,0,0,0,0,4,6,0.0,0,6.0
168,2017,February,7,7,0,21,3,18,12.857142857142858,0.0,7,0,0,6,0,0,1,1,4,7,0,0,66.73809523809524,0,7,0,0,0,7,0,0,0,0,0,0,5,2,0,0,4,3,11,0.0,1,12.0
24,2015,September,6,6,0,12,3,9,166.0,0.0,6,0,0,0,6,0,0,0,10,6,0,0,88.1025,0,6,0,0,0,6,0,0,0,0,0,0,0,6,0,0,6,0,12,0.0,0,12.0
19,2015,October,113,103,10,226,2,224,148.32743362831857,0.04424778761061947,113,0,0,113,0,0,0,0,2,103,10,0,100.0,0,113,0,0,0,113,0,0,0,1,1,0,0,113,0,0,113,0,114,0.0,0,114.0
37,2016,February,151,0,151,304,1,303,67.59602649006622,0.006622516556291391,1,150,0,151,0,0,0,0,0,0,151,0,74.80263157894737,0,0,151,0,0,151,0,0,0,0,150,0,151,0,0,0,151,0,302,0.0,0,302.0
3,2016,June,116,55,61,324,94,230,171.01724137931035,0.27586206896551724,75,41,0,116,0,0,0,0,10,55,60,1,92.34910493827158,0,116,0,0,0,116,0,0,0,0,21,0,46,70,0,0,116,0,230,3.0,0,233.0
42,2017,July,34,30,4,145,43,102,139.2058823529412,0.0,34,0,0,29,2,0,3,0,17,30,4,0,96.28386206896552,9,25,0,0,0,34,0,0,0,0,0,0,34,0,0,0,34,0,68,3.0,0,71.0
86,2015,November,1,1,0,2,0,2,28.0,2.0,1,0,0,1,0,0,0,0,1,1,0,0,85.6,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,2,0.0,0,2.0
391,2016,December,2,2,0,2,0,2,0.0,0.0,2,0,0,2,0,0,0,2,0,2,0,0,88.875,0,2,0,0,0,2,0,0,0,0,0,0,2,0,0,0,2,0,2,0.0,0,2.0
241,2017,January,60,55,5,240,67,173,38.166666666666664,0.016666666666666666,60,0,0,48,12,0,0,6,67,55,5,0,48.02250000000001,60,0,0,0,0,59,1,0,0,0,0,0,59,0,0,1,0,60,112,1.0,0,113.0
493,2017,April,35,30,5,278,75,203,110.08571428571429,0.8,35,0,0,0,35,0,0,3,11,30,5,0,84.03241007194245,0,0,35,0,0,35,0,0,0,0,0,0,0,5,30,0,0,35,69,1.0,0,70.0
26,2016,February,3,3,0,10,5,5,18.333333333333332,0.0,3,0,0,3,0,0,0,0,3,3,0,0,41.03,0,3,0,0,0,3,0,0,0,0,0,0,3,0,0,0,1,2,6,0.0,0,6.0
360,2016,December,1,1,0,1,0,1,336.0,2.0,1,0,0,1,0,0,0,0,0,1,0,0,61.0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,2,0.0,0,2.0
5,2017,May,1,1,0,1,0,1,0.0,0.0,1,0,0,1,0,0,0,0,0,1,0,0,68.0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,2,0.0,0,2.0
192,2016,June,21,7,14,73,10,63,114.38095238095238,0.0,11,10,0,21,0,0,0,0,8,7,13,1,100.82191780821918,0,21,0,0,0,21,0,0,0,0,0,0,10,11,0,0,21,0,42,0.0,0,42.0
83,2016,August,44,31,13,149,52,97,83.61363636363636,0.11363636363636363,44,0,0,40,4,0,0,1,6,31,13,0,117.9604697986577,11,33,0,0,0,44,0,0,0,0,1,0,42,0,2,0,44,0,96,9.0,0,105.0
3,2015,July,1,1,0,2,0,2,2.0,0.0,1,0,0,0,1,0,0,0,0,1,0,0,91.5,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,2,0.0,0,2.0
75,2016,September,2,1,1,28,8,20,319.5,0.0,2,0,0,1,1,0,0,0,1,1,1,0,73.67499999999998,0,2,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,2,4,0.0,0,4.0
242,2017,August,47,28,19,208,59,149,107.42553191489361,0.2553191489361702,47,0,0,29,18,0,0,4,86,28,18,1,251.31721153846158,47,0,0,0,0,46,1,0,0,0,0,1,47,0,0,0,0,47,96,21.0,0,117.0
40,2017,August,123,106,17,989,275,714,122.5040650406504,0.0975609756097561,123,0,0,85,35,0,3,0,83,106,15,2,132.5826693629929,0,123,0,0,0,123,0,0,0,0,0,0,8,0,100,15,0,123,249,3.0,1,253.0
9,2016,June,1308,832,476,3754,1021,2733,65.37614678899082,0.1735474006116208,1307,1,0,969,35,0,304,54,1004,832,453,23,126.55077783697378,1306,0,0,0,2,1306,0,2,0,4,13,6,1207,81,19,1,1306,2,2598,170.0,7,2775.0
128,2015,July,2,2,0,25,7,18,180.0,0.0,2,0,0,2,0,0,0,0,1,2,0,0,98.566,0,2,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,2,4,0.0,0,4.0
139,2016,February,1,1,0,3,1,2,3.0,1.0,1,0,0,1,0,0,0,0,0,1,0,0,30.0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0.0,0,1.0
184,2016,June,2,2,0,2,2,0,10.0,0.0,2,0,0,2,0,0,0,1,0,2,0,0,130.5,2,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,2,2,0.0,0,2.0
127,2017,May,4,4,0,8,0,8,7.0,0.0,4,0,0,4,0,0,0,0,0,4,0,0,49.6,4,0,0,0,0,4,0,0,0,0,0,0,0,4,0,0,0,4,4,0.0,0,4.0
143,2017,August,8,8,0,73,20,53,262.875,0.5,8,0,0,4,4,0,0,0,7,8,0,0,123.30301369863015,0,8,0,0,0,8,0,0,0,0,0,0,8,0,0,0,0,8,16,1.0,0,17.0
30,2017,May,18,0,18,38,1,37,154.77777777777777,0.0,1,17,0,18,0,0,0,0,0,0,18,0,120.78947368421052,0,0,18,0,0,18,0,0,0,0,0,0,18,0,0,0,18,0,36,0.0,0,36.0
29,2016,January,133,0,133,198,0,198,110.82706766917293,0.0,0,133,0,133,0,0,0,0,0,0,133,0,74.24242424242425,0,0,133,0,0,133,0,0,0,0,133,0,133,0,0,0,133,0,183,0.0,0,183.0
22,2015,December,7,6,1,22,10,12,49.0,0.14285714285714285,7,0,0,7,0,0,0,0,6,6,1,0,68.33181818181818,0,7,0,0,0,7,0,0,0,0,1,0,7,0,0,0,7,0,13,1.0,1,15.0
141,2016,December,2,2,0,6,0,6,22.0,0.0,2,0,0,2,0,0,0,0,3,2,0,0,0.0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,2,0,3,0.0,0,3.0
15,2015,July,12,6,6,81,19,62,69.91666666666667,0.16666666666666666,12,0,0,5,4,3,0,0,5,6,6,0,102.11839506172839,5,7,0,0,0,12,0,0,0,0,0,0,9,3,0,0,5,7,26,2.0,1,29.0
245,2016,April,25,0,25,50,0,50,168.0,0.0,0,25,0,0,25,0,0,0,0,0,25,0,86.0,0,0,25,0,0,25,0,0,0,0,0,0,25,0,0,0,0,25,50,0.0,0,50.0
481,2016,November,8,7,1,15,0,15,76.0,0.375,8,0,0,8,0,0,0,0,0,7,1,0,44.4,0,0,0,0,8,0,0,8,0,0,0,0,3,5,0,0,0,8,14,0.0,0,14.0
3,2017,May,77,6,71,248,103,145,144.24675324675326,0.012987012987012988,17,60,0,77,0,0,0,0,7,6,71,0,107.96774193548387,0,12,65,0,0,77,0,0,0,1,0,1,62,15,0,0,76,1,129,0.0,0,129.0
330,2016,May,3,3,0,3,0,3,4.0,0.0,3,0,0,3,0,0,0,0,0,3,0,0,65.33333333333333,0,3,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,3,5,0.0,0,5.0
57,2015,August,1,1,0,7,2,5,10.0,0.0,1,0,0,1,0,0,0,0,0,1,0,0,85.0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,2,0.0,0,2.0
27,2016,January,18,17,1,78,28,50,50.833333333333336,0.1111111111111111,18,0,0,18,0,0,0,0,4,17,0,1,47.10294871794872,0,18,0,0,0,18,0,0,0,0,0,0,18,0,0,0,18,0,32,0.0,0,32.0
37,2016,April,37,0,37,185,74,111,142.0,0.0,0,37,0,37,0,0,0,0,0,0,37,0,98.08108108108108,0,0,37,0,0,37,0,0,0,0,0,0,37,0,0,0,37,0,61,0.0,0,61.0
27,2016,May,18,16,2,67,23,44,119.33333333333333,0.1111111111111111,18,0,0,18,0,0,0,0,2,16,1,1,82.96641791044776,0,18,0,0,0,18,0,0,0,0,0,0,14,4,0,0,18,0,36,0.0,0,36.0
118,2015,December,1,1,0,1,0,1,6.0,0.0,1,0,0,1,0,0,0,0,0,1,0,0,77.5,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,2,1.0,0,3.0
241,2015,November,18,18,0,78,22,56,44.666666666666664,0.2777777777777778,18,0,0,13,5,0,0,4,12,18,0,0,50.21051282051282,17,0,0,1,0,17,1,0,0,1,0,0,18,0,0,0,0,18,35,2.0,0,37.0
